time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-15T17:17:49.342Z,55.2088,-157.8433,6.2,3,ml,,,,0.7,ak,ak0223enzst1,2022-03-15T17:28:14.188Z,"113 km SE of Perryville, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-03-15T16:34:32.160Z,17.89,-66.8523333333333,12.45,2.46,md,8,238,,0.28,pr,pr71340318,2022-03-15T16:52:16.730Z,"10 km SSE of Maria Antonia, Puerto Rico",earthquake,1.87,0.95,0.171108715566468,4,reviewed,pr,pr
2022-03-15T16:25:31.149Z,31.6243,-104.476,5,2.8,ml,,68,0.049,0.5,us,us6000h4rn,2022-03-15T17:44:50.040Z,"western Texas",earthquake,1.4,1.7,0.045,64,reviewed,us,us
2022-03-15T16:19:02.011Z,63.4614,-151.1845,6.8,2.5,ml,,,,0.95,ak,ak0223eneovg,2022-03-15T17:26:36.040Z,"28 km ESE of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-15T16:15:34.793Z,28.6671,-98.8209,5,2.5,mb_lg,,177,0.609,0.64,us,us6000h4ri,2022-03-15T17:12:09.040Z,"22 km N of Fowlerton, Texas",earthquake,2.8,2,0.255,4,reviewed,us,us
2022-03-15T16:02:26.747Z,-58.6342,-25.3256,10,4.7,mb,,97,7.562,0.71,us,us6000h4r8,2022-03-15T16:36:55.040Z,"South Sandwich Islands region",earthquake,11.5,1.9,0.12,24,reviewed,us,us
2022-03-15T15:56:58.350Z,17.9046666666667,-66.8595,12.28,2.6,md,17,198,,0.18,pr,pr71340308,2022-03-15T16:16:29.530Z,"8 km SSE of Maria Antonia, Puerto Rico",earthquake,0.43,0.41,0.0714206756669706,8,reviewed,pr,pr
2022-03-15T15:51:39.507Z,-58.5703,-24.9683,10,5.3,mww,,83,7.693,0.9,us,us6000h4r3,2022-03-15T16:48:37.040Z,"South Sandwich Islands region",earthquake,10.1,1.9,0.098,10,reviewed,us,us
2022-03-15T15:48:45.416Z,28.6777,-99.0273,5,2.6,mb_lg,,84,0.478,0.41,us,us6000h4r0,2022-03-15T17:16:32.040Z,"14 km E of Dilley, Texas",earthquake,2.5,2,0.12,18,reviewed,us,us
2022-03-15T15:11:29.142Z,42.6923,-78.1505,5,2.6,mb_lg,,49,0.522,0.31,us,us6000h4qr,2022-03-15T17:56:42.648Z,"5 km SSW of Warsaw, New York",earthquake,1.9,2,0.089,33,reviewed,us,us
2022-03-15T14:25:39.206Z,65.6003,-165.2724,10,2.5,ml,,197,0.28,0.21,us,us6000h4qn,2022-03-15T14:54:55.040Z,"63 km NE of Teller, Alaska",earthquake,6.2,2,0.097,14,reviewed,us,us
2022-03-15T14:18:03.181Z,0.4136,125.8393,43.89,5,mb,,53,1.568,0.45,us,us6000h4qh,2022-03-15T15:00:00.040Z,"142 km SE of Tondano, Indonesia",earthquake,3.1,7.7,0.063,86,reviewed,us,us
2022-03-15T14:06:14.400Z,17.9125,-66.8628333333333,16.55,2.65,md,9,195,,0.15,pr,pr71340298,2022-03-15T14:30:27.510Z,"7 km SSE of Maria Antonia, Puerto Rico",earthquake,0.79,0.85,0.334990302650965,3,reviewed,pr,pr
2022-03-15T13:55:52.605Z,-60.3239,-27.0977,10,4.8,mb,,81,7.9,0.36,us,us6000h4qc,2022-03-15T14:16:33.040Z,"South Sandwich Islands region",earthquake,14.2,1.9,0.121,24,reviewed,us,us
2022-03-15T13:50:30.796Z,-21.1304,-69.3679,100.36,4.9,mww,,59,0.141,0.64,us,us6000h4q8,2022-03-15T16:53:11.620Z,"130 km SE of Iquique, Chile",earthquake,5.1,2.2,0.089,12,reviewed,us,us
2022-03-15T13:11:02.733Z,37.8639,101.3798,10,4.2,mb,,63,10.62,0.66,us,us6000h4q0,2022-03-15T15:48:47.652Z,"100 km SW of Jinchang, China",earthquake,13.2,1.9,0.136,18,reviewed,us,us
2022-03-15T12:25:59.703Z,42.2121,42.7582,10,4.7,mb,,39,1.473,0.5,us,us6000h4pa,2022-03-15T13:01:53.371Z,"8 km SE of Kutaisi, Georgia",earthquake,4.7,1.8,0.069,64,reviewed,us,us
2022-03-15T12:12:31.407Z,-0.5301,98.556,37.2,5.1,mww,,107,2.068,0.45,us,us6000h4p4,2022-03-15T12:27:51.040Z,"174 km W of Pariaman, Indonesia",earthquake,7.5,6.4,0.093,11,reviewed,us,us
2022-03-15T11:48:32.775Z,37.1237,-115.3217,12.1,3.4,ml,28,74.68,0.523,0.1814,nn,nn00835351,2022-03-15T17:14:50.756Z,"30 km SSW of Alamo, Nevada",earthquake,,1,0.44,16,reviewed,nn,nn
2022-03-15T10:55:47.319Z,43.045,145.0363,97.62,4.3,mb,,145,1.728,0.38,us,us6000h4nv,2022-03-15T11:15:26.040Z,"53 km SW of Nemuro, Japan",earthquake,6.4,8.8,0.117,21,reviewed,us,us
2022-03-15T10:30:20.477Z,67.3441,-156.1493,0,2.6,ml,,,,0.84,ak,ak0223ejwhng,2022-03-15T10:42:05.576Z,"58 km NNE of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-15T10:23:21.610Z,18.1673333333333,-67.3711666666667,55.95,3.28,md,47,168,,0.25,pr,pr71340283,2022-03-15T11:27:11.193Z,"21 km SW of Stella, Puerto Rico",earthquake,0.47,0.42,0.126043013864354,19,reviewed,pr,pr
2022-03-15T10:20:08.079Z,-15.7765,-71.9574,10,4.7,mb,,127,2.981,0.78,us,us6000h4nn,2022-03-15T11:38:37.749Z,"16 km ESE of Huambo, Peru",earthquake,7,1.9,0.062,79,reviewed,us,us
